time,gFx,gFy,gFz,gFTotal,label
2.539836884,0.034,-0.557,-0.65,0.857,walk
2.549949884,0.038,-0.57,-0.664,0.876,walk
2.560336828,0.055,-0.591,-0.688,0.909,walk
2.595003843,0.084,-0.635,-0.784,1.012,walk
2.595283985,0.084,-0.635,-0.784,1.012,walk
2.595541,0.084,-0.635,-0.784,1.012,walk
2.599043846,0.085,-0.644,-0.808,1.037,walk
2.609549046,0.084,-0.652,-0.821,1.052,walk
2.619386911,0.082,-0.663,-0.826,1.062,walk
2.629711866,0.077,-0.674,-0.826,1.069,walk
2.639539719,0.071,-0.682,-0.832,1.078,walk
2.649906874,0.067,-0.689,-0.843,1.091,walk
2.660155773,0.068,-0.702,-0.856,1.109,walk
2.673237801,0.061,-0.712,-0.877,1.131,walk
2.695719719,0.038,-0.72,-0.92,1.169,walk
2.695999861,0.038,-0.72,-0.92,1.169,walk
2.698886871,0.02,-0.725,-0.953,1.198,walk
2.714955807,0.009,-0.737,-0.984,1.229,walk
2.719333887,0.012,-0.755,-1.001,1.254,walk
2.730969906,0.021,-0.776,-1.003,1.268,walk
2.73956871,0.029,-0.796,-0.99,1.271,walk
2.749735832,0.033,-0.812,-0.953,1.252,walk
2.759759903,0.03,-0.812,-0.906,1.217,walk
2.792407036,0.029,-0.737,-0.791,1.082,walk
2.792688847,0.029,-0.737,-0.791,1.082,walk
2.792932034,0.029,-0.737,-0.791,1.082,walk
2.799074888,0.042,-0.69,-0.779,1.041,walk
2.809286833,0.055,-0.64,-0.784,1.014,walk
2.819375992,0.064,-0.584,-0.806,0.997,walk
2.829435825,0.066,-0.534,-0.832,0.991,walk
2.839556932,0.061,-0.488,-0.853,0.985,walk
2.849809885,0.04,-0.444,-0.864,0.972,walk
2.86016798,0.005,-0.405,-0.865,0.955,walk
2.892431736,-0.13,-0.355,-0.865,0.944,walk
2.892710924,-0.13,-0.355,-0.865,0.944,walk
2.892951965,-0.13,-0.355,-0.865,0.944,walk
2.899193764,-0.163,-0.354,-0.879,0.962,walk
2.909150839,-0.169,-0.363,-0.884,0.97,walk
2.919457912,-0.152,-0.385,-0.879,0.972,walk
2.929368973,-0.118,-0.413,-0.865,0.966,walk
2.93975687,-0.075,-0.442,-0.851,0.962,walk
2.949770927,-0.027,-0.476,-0.841,0.967,walk
2.959795952,0.011,-0.501,-0.83,0.97,walk
2.975558758,0.027,-0.508,-0.809,0.956,walk
2.997983932,0.049,-0.49,-0.752,0.899,walk
2.998224735,0.065,-0.485,-0.735,0.883,walk
2.999647856,0.065,-0.485,-0.735,0.883,walk
3.016343832,0.082,-0.488,-0.726,0.879,walk
3.019190788,0.102,-0.498,-0.718,0.88,walk
3.031044006,0.113,-0.513,-0.704,0.878,walk
3.039497852,0.11,-0.527,-0.691,0.876,walk
3.049161911,0.093,-0.539,-0.686,0.877,walk
3.059773922,0.075,-0.548,-0.684,0.88,walk
3.091204882,0.01,-0.588,-0.678,0.898,walk
3.091428757,0.01,-0.588,-0.678,0.898,walk
3.091644764,0.01,-0.588,-0.678,0.898,walk
3.098656893,0,-0.591,-0.687,0.906,walk
3.109128952,0.004,-0.588,-0.696,0.911,walk
3.119307041,0.027,-0.583,-0.707,0.917,walk
3.129333019,0.06,-0.586,-0.727,0.936,walk
3.139587879,0.09,-0.585,-0.744,0.951,walk
3.149484873,0.116,-0.574,-0.759,0.959,walk
3.159534931,0.136,-0.563,-0.777,0.969,walk
3.19549799,0.181,-0.57,-0.873,1.058,walk
3.195780754,0.181,-0.57,-0.873,1.058,walk
3.196037769,0.181,-0.57,-0.873,1.058,walk
3.198462009,0.172,-0.573,-0.891,1.073,walk
3.208968878,0.147,-0.575,-0.901,1.079,walk
3.218901873,0.118,-0.584,-0.912,1.089,walk
3.229275703,0.095,-0.593,-0.938,1.114,walk
3.238968849,0.082,-0.594,-0.972,1.142,walk
3.249441862,0.078,-0.6,-0.987,1.158,walk
3.259457827,0.08,-0.617,-0.999,1.177,walk
3.292731762,0.121,-0.683,-1.012,1.227,walk
3.293010712,0.121,-0.683,-1.012,1.227,walk
3.293383837,0.121,-0.683,-1.012,1.227,walk
3.298482895,0.135,-0.705,-0.981,1.216,walk
3.308954716,0.139,-0.718,-0.94,1.191,walk
3.318868876,0.141,-0.734,-0.898,1.168,walk
3.328841925,0.141,-0.744,-0.874,1.156,walk
3.338879824,0.136,-0.746,-0.864,1.15,walk
3.34935379,0.142,-0.75,-0.861,1.151,walk
3.359428883,0.146,-0.747,-0.862,1.15,walk
3.373037815,0.145,-0.723,-0.874,1.144,walk
3.395260811,0.145,-0.643,-0.919,1.131,walk
3.395603895,0.145,-0.643,-0.919,1.131,walk
3.398375988,0.148,-0.595,-0.921,1.106,walk
3.414675713,0.162,-0.552,-0.911,1.077,walk
3.418580055,0.181,-0.516,-0.897,1.051,walk
3.431077003,0.196,-0.491,-0.878,1.025,walk
3.438921928,0.214,-0.48,-0.864,1.011,walk
3.44884491,0.232,-0.475,-0.863,1.012,walk
3.459189892,0.24,-0.464,-0.867,1.012,walk
3.472585917,0.242,-0.451,-0.866,1.006,walk
3.494264841,0.237,-0.417,-0.859,0.984,walk
3.494488716,0.237,-0.417,-0.859,0.984,walk
3.498202801,0.233,-0.393,-0.861,0.975,walk
3.515140057,0.241,-0.374,-0.864,0.972,walk
3.518854856,0.253,-0.358,-0.863,0.968,walk
3.531096935,0.266,-0.347,-0.856,0.961,walk
3.538778782,0.279,-0.349,-0.842,0.953,walk
3.549091816,0.281,-0.358,-0.823,0.94,walk
3.559198856,0.266,-0.367,-0.797,0.917,walk
3.59366703,0.181,-0.408,-0.692,0.823,walk
3.594058037,0.181,-0.408,-0.692,0.823,walk
3.594372749,0.181,-0.408,-0.692,0.823,walk
3.598220825,0.153,-0.414,-0.654,0.789,walk
3.608552933,0.132,-0.418,-0.621,0.76,walk
3.618681908,0.12,-0.42,-0.603,0.745,walk
3.628857851,0.114,-0.42,-0.6,0.741,walk
3.638627052,0.12,-0.422,-0.6,0.743,walk
3.649067879,0.132,-0.426,-0.608,0.754,walk
3.659019947,0.141,-0.434,-0.622,0.771,walk
3.691875935,0.144,-0.491,-0.66,0.835,walk
3.692173004,0.144,-0.491,-0.66,0.835,walk
3.692446709,0.144,-0.491,-0.66,0.835,walk
3.698143959,0.155,-0.522,-0.682,0.873,walk
3.708570004,0.167,-0.559,-0.694,0.907,walk
3.718518734,0.178,-0.591,-0.702,0.935,walk
3.728937864,0.177,-0.609,-0.713,0.954,walk
3.738780022,0.178,-0.632,-0.735,0.986,walk
3.748893738,0.185,-0.668,-0.766,1.033,walk
3.75896287,0.192,-0.701,-0.811,1.089,walk
3.773243904,0.195,-0.722,-0.86,1.14,walk
3.795339823,0.202,-0.745,-0.956,1.229,walk
3.79566288,0.202,-0.745,-0.956,1.229,walk
3.79795289,0.201,-0.748,-1.001,1.266,walk
3.816256046,0.196,-0.748,-1.039,1.295,walk
3.81811285,0.196,-0.749,-1.071,1.322,walk
3.830353737,0.196,-0.75,-1.09,1.338,walk
3.838547707,0.187,-0.749,-1.095,1.34,walk
3.848726749,0.171,-0.746,-1.1,1.34,walk
3.858977795,0.15,-0.739,-1.103,1.336,walk
3.891165733,0.06,-0.686,-1.089,1.288,walk
3.891450882,0.06,-0.686,-1.089,1.288,walk
3.891724825,0.06,-0.686,-1.089,1.288,walk
3.898264885,0.03,-0.672,-1.074,1.267,walk
3.908494949,0.005,-0.658,-1.053,1.242,walk
3.918553829,-0.026,-0.629,-1.033,1.21,walk
3.928665876,-0.063,-0.584,-1.021,1.178,walk
3.938772917,-0.099,-0.535,-1.015,1.152,walk
3.948782921,-0.125,-0.48,-1.016,1.131,walk
3.959106922,-0.148,-0.428,-1.023,1.119,walk
3.974312782,-0.169,-0.381,-1.017,1.099,walk
3.997646809,-0.228,-0.309,-0.895,0.974,walk
3.998360872,-0.228,-0.309,-0.895,0.974,walk
3.999873877,-0.228,-0.309,-0.895,0.974,walk
4.008409023,-0.23,-0.311,-0.83,0.916,walk
4.018325806,-0.252,-0.317,-0.766,0.866,walk
4.028567791,-0.261,-0.328,-0.699,0.815,walk
4.038394928,-0.254,-0.34,-0.632,0.761,walk
4.048752785,-0.241,-0.352,-0.573,0.714,walk
4.05859375,-0.224,-0.368,-0.532,0.685,walk
4.092844009,-0.193,-0.418,-0.522,0.696,walk
4.093287945,-0.193,-0.418,-0.522,0.696,walk
4.09352684,-0.193,-0.418,-0.522,0.696,walk
4.097762823,-0.158,-0.445,-0.535,0.714,walk
4.108224869,-0.123,-0.468,-0.559,0.739,walk
4.11809206,-0.079,-0.487,-0.588,0.768,walk
4.128373861,-0.025,-0.5,-0.616,0.794,walk
4.138401031,0.03,-0.507,-0.642,0.819,walk
4.148625851,0.092,-0.523,-0.67,0.855,walk
4.15852499,0.132,-0.525,-0.704,0.888,walk
4.192554951,0.093,-0.475,-0.773,0.912,walk
4.192843914,0.093,-0.475,-0.773,0.912,walk
4.193099976,0.093,-0.475,-0.773,0.912,walk
4.197689056,0.075,-0.485,-0.772,0.915,walk
4.208117962,0.044,-0.504,-0.778,0.928,walk
4.218147755,0.01,-0.522,-0.777,0.936,walk
4.228229046,-0.022,-0.541,-0.779,0.949,walk
4.238313913,-0.051,-0.563,-0.787,0.969,walk
4.248618841,-0.077,-0.586,-0.801,0.995,walk
4.258450031,-0.097,-0.604,-0.822,1.025,walk
4.292060852,-0.09,-0.602,-0.901,1.087,walk
4.292346954,-0.09,-0.602,-0.901,1.087,walk
